APP_ID,CLASS_FILE_NAME,INVOCATION,ARGUMENTS LIST (FROM AST),NO. OF ARGUMENTS,COMPLEXITY_SCORE,ALGORITHM
com.cat.psld.mobile.cwms-60,CryptoBox.java,BlockCipher.getInstance(),{},0,-1,AES/GCM/NoPadding
com.cat.psld.mobile.cwms-60,CryptoBox.java,BlockCipher.getInstance(),{},0,-1,AES/GCM/NoPadding
com.cat.itdd.mobile.mypowersystems-20042,CryptoBox.java,BlockCipher.getInstance(),{},0,-1,AES/GCM/NoPadding
com.cat.itdd.mobile.mypowersystems-20042,CryptoBox.java,BlockCipher.getInstance(),{},0,-1,AES/GCM/NoPadding
com.cat.mnd.mobile.ramep-10181,CryptoBox.java,BlockCipher.getInstance(),{},0,-1,AES/GCM/NoPadding
com.cat.mnd.mobile.ramep-10181,CryptoBox.java,BlockCipher.getInstance(),{},0,-1,AES/GCM/NoPadding
com.infiRay.Xtherm-40,EncryptedKeyResolver.java,XMLCipher.getInstance(),{},0,-1,-
com.infiRay.Xtherm-40,KeyInfo.java,XMLCipher.getInstance(),{},0,-1,-
com.infiRay.Xtherm-40,KeyInfo.java,XMLCipher.getInstance(),{},0,-1,-
com.mycodlabs.ticketpos-382,EncryptedKeyResolver.java,XMLCipher.getInstance(),{},0,-1,-
com.mycodlabs.ticketpos-382,KeyInfo.java,XMLCipher.getInstance(),{},0,-1,-
com.mycodlabs.ticketpos-382,KeyInfo.java,XMLCipher.getInstance(),{},0,-1,-
com.liberin.smartstreetlight-12,CryptoBox.java,BlockCipher.getInstance(),{},0,-1,AES/GCM/NoPadding
com.liberin.smartstreetlight-12,CryptoBox.java,BlockCipher.getInstance(),{},0,-1,AES/GCM/NoPadding
com.uhssystems.ultrasyncplus-379,WebAppWebViewActivity.java,AESCipher.getInstance(),{},0,-1,AES/CBC/PKCS5Padding
com.uhssystems.ultrasyncplus-379,SiteListActivity.java,AESCipher.getInstance(),{},0,-1,AES/CBC/PKCS5Padding
net.ajcloud.septekon-34,C10042m.java,"Cipher.getInstance(""AES/GCM/NoPadding"")",{'string_literal': 1},1,0,"""AES/GCM/NoPadding"""
com.trainerize.freedomfitnessgym-795000,CencDecryptingSampleList.java,"Cipher.getInstance(""AES/CBC/NoPadding"")",{'string_literal': 1},1,0,"""AES/CBC/NoPadding"""
com.weedle.tv_charter_remotes-10004,C4245a.java,"Cipher.getInstance(""AES/CBC/NoPadding"")",{'string_literal': 1},1,0,"""AES/CBC/NoPadding"""
com.verizon.familybase.companion-85400000,C1593f1.java,Cipher.getInstance(f11829a),{'identifier': 1},1,0,"""AES/GCM/NoPadding"""
reflex.smartlogs.pro-21,zzci.java,"Cipher.getInstance(""AES/GCM-SIV/NoPadding"")",{'string_literal': 1},1,0,"""AES/GCM-SIV/NoPadding"""
com.szacs.lamborghini-27,C0621a.java,"Cipher.getInstance(""AES/CBC/PKCS7Padding"")",{'string_literal': 1},1,0,"""AES/CBC/PKCS7Padding"""
com.titaniumllc.android-258,AESCBCCipher.java,Cipher.getInstance(CIPHERMODEPADDING),{'identifier': 1},1,0,"""AES/CBC/PKCS5Padding"""
de.abussc.secvest2-420230228,RsaKemHybridEncrypt.java,"Cipher.getInstance(""RSA/ECB/NoPadding"")",{'string_literal': 1},1,0,"""RSA/ECB/NoPadding"""
pl.satel.perfectacontrol-20001004,zzcv.java,"Cipher.getInstance(""AES/GCM-SIV/NoPadding"")",{'string_literal': 1},1,0,"""AES/GCM-SIV/NoPadding"""
com.zepp.zepp_tennis-16,C2798y.java,"Cipher.getInstance(""AES/CBC/PKCS5Padding"")",{'string_literal': 1},1,0,"""AES/CBC/PKCS5Padding"""
com.tedilife.smart-9,AESCBCUtil.java,"Cipher.getInstance(""AES/CBC/PKCS7PADDING"")",{'string_literal': 1},1,0,"""AES/CBC/PKCS7PADDING"""
com.skyportlabs.prostat.skyport-6015010,AesCbcKS.java,"Cipher.getInstance(""AES/CBC/PKCS7Padding"")",{'string_literal': 1},1,0,"""AES/CBC/PKCS7Padding"""
org.openhab.habdroid-493,Aes128DataSource.java,"Cipher.getInstance(""AES/CBC/PKCS7Padding"")",{'string_literal': 1},1,0,"""AES/CBC/PKCS7Padding"""
com.orbcomm.iot.mobile.fst-4050008,C0327w.java,"Cipher.getInstance(""AES/CBC/PKCS7Padding"")",{'string_literal': 1},1,0,"""AES/CBC/PKCS7Padding"""
nova.priv.hand.easypluto.google-616,EncryptUtils.java,"Cipher.getInstance(""RSA/None/PKCS1Padding"")",{'string_literal': 1},1,0,"""RSA/None/PKCS1Padding"""
com.smartnovolife-4,hn1.java,"Cipher.getInstance(""AES/CBC/PKCS5Padding"")",{'string_literal': 1},1,0,"""AES/CBC/PKCS5Padding"""
com.strobe.flashlight-35,zzaqy.java,"Cipher.getInstance(""AES/CBC/PKCS5Padding"")",{'string_literal': 1},1,0,"""AES/CBC/PKCS5Padding"""
webviewgold.PROElliot-2,zzds.java,"Cipher.getInstance(""AES/CBC/PKCS5Padding"")",{'string_literal': 1},1,0,"""AES/CBC/PKCS5Padding"""
com.universal.remote.ms.tv-50010002,AESCrypt.java,Cipher.getInstance(AES_MODE),{'identifier': 1},1,0,"""AES/CBC/PKCS7Padding"";"
com.traiden1.air1-4,EncryptUtils.java,"Cipher.getInstance(""AES/CBC/PKCS5Padding"")",{'string_literal': 1},1,0,"""AES/CBC/PKCS5Padding"""
strange.watch.longevity.ion-4550,zzcv.java,"Cipher.getInstance(""AES/GCM-SIV/NoPadding"")",{'string_literal': 1},1,0,"""AES/GCM-SIV/NoPadding"""
com.sphere3d.glassware-13,C0578b.java,"Cipher.getInstance(""DES/ECB/NoPadding"")",{'string_literal': 1},1,0,"""DES/ECB/NoPadding"""
com.secury360.ownerapp-218,CryptoUtil.java,"Cipher.getInstance(""RSA/ECB/PKCS1Padding"")",{'string_literal': 1},1,0,"""RSA/ECB/PKCS1Padding"""
com.saj.pump-23,C3838as.java,"Cipher.getInstance(""AES/CBC/PKCS5Padding"")",{'string_literal': 1},1,0,"""AES/CBC/PKCS5Padding"""
com.trainerize.liftpersonalfitness1-609110,CencEncryptingSampleList.java,"Cipher.getInstance(""AES/CTR/NoPadding"")",{'string_literal': 1},1,0,"""AES/CTR/NoPadding"""
my.com.plus_solar.sourcekai-10103,CipherStorageKeystoreAESCBC.java,Cipher.getInstance(ENCRYPTION_TRANSFORMATION),{'identifier': 1},1,0,"""AES/CBC/PKCS7Padding"""
kr.co.h_gang.smartsolity-1996,AndroidKeystoreAesGcm.java,"Cipher.getInstance(""AES/GCM/NoPadding"")",{'string_literal': 1},1,0,"""AES/GCM/NoPadding"""
com.senpower.TNine-83,AesFlushingCipher.java,"Cipher.getInstance(""AES/CTR/NoPadding"")",{'string_literal': 1},1,0,"""AES/CTR/NoPadding"""
com.penpower.worldpenscan-69,C1885z.java,"Cipher.getInstance(""AES/GCM/NoPadding"")",{'string_literal': 1},1,0,"""AES/GCM/NoPadding"""
co.summitec.summitecgpstracking-4437,AesCbcKS.java,Cipher.getInstance(f3942c),{'identifier': 1},1,0,"""AES/CBC/PKCS7Padding"""
com.promate.PromateIoT-3,AESCTRUtil.java,Cipher.getInstance(DEFAULT_CIPHER_ALGORITHM),{'identifier': 1},1,0,"""AES/CTR/NoPadding"""
com.we.glight-35,AES2.java,Cipher.getInstance(MOD),{'identifier': 1},1,0,"""AES/ECB/NoPadding"""
com.livescribe.companion-773,CryptoUtils.java,Cipher.getInstance(str),{'identifier': 1},1,0,-
sauter.buildingServices.mobileBuildingApp-1600000078,AESGCM.java,"Cipher.getInstance(""AES/GCM/NoPadding"")",{'string_literal': 1},1,0,"""AES/GCM/NoPadding"""
com.wifiaudio.SmartSonix-2023031416,ContentCryptoMaterial.java,Cipher.getInstance(str),{'identifier': 1},1,0,-
me.shadura.escposprint-34,BcFKSKeyStoreSpi.java,"Cipher.getInstance(""AES/CCM/NoPadding"")",{'string_literal': 1},1,0,"""AES/CCM/NoPadding"""
net.sguai.app-3219,C1709a.java,"Cipher.getInstance(""RSA/ECB/PKCS1Padding"")",{'string_literal': 1},1,0,"""RSA/ECB/PKCS1Padding"""
com.transcore.android.commuterLink-23091241,NTLMEngineImpl.java,"Cipher.getInstance(""DES/ECB/NoPadding"")",{'string_literal': 1},1,0,"""DES/ECB/NoPadding"""
